,YEAR,CAMPUS,CNAME,MEETS,COURSE
3944,22,220905154,M L PHILLIPS EL,15.0,STAAR - 3rd Reading
3966,22,220905187,J T STEVENS EL,44.0,STAAR - 3rd Reading
3972,22,220905208,T A SIMS EL,37.0,STAAR - 3rd Reading
3977,22,220905222,CLIFFORD DAVIS,20.0,STAAR - 3rd Reading
3995,22,220907102,FLORENCE EL,82.0,STAAR - 3rd Reading
4046,22,220912103,DEER CREEK EL,51.0,STAAR - 3rd Reading
4056,22,220912113,DAVID L WALKER,41.0,STAAR - 3rd Reading
4059,22,220914102,JAMES F DELANEY,56.0,STAAR - 3rd Reading
4091,22,220918101,L A GILILLAND E,48.0,STAAR - 3rd Reading
4108,22,220919101,JACK D JOHNSON,88.0,STAAR - 3rd Reading
4241,22,227820301,KIPP DESTINY EL,25.0,STAAR - 3rd Reading
4242,22,227820302,KIPP TRUTH EL,14.0,STAAR - 3rd Reading
4243,22,227820303,KIPP PLEASANT G,24.0,STAAR - 3rd Reading
956,22,57803003,UPLIFT EDUCATIO,36.0,STAAR - 3rd Math
957,22,57803008,UPLIFT MIGHTY S,9.0,STAAR - 3rd Math
958,22,57803017,UPLIFT ASCEND,30.0,STAAR - 3rd Math
959,22,57803018,UPLIFT ELEVATE,12.0,STAAR - 3rd Math
961,22,57803102,UPLIFT EDUCATIO,53.0,STAAR - 3rd Math
962,22,57803103,UPLIFT GRADUS P,47.0,STAAR - 3rd Math
963,22,57803104,UPLIFT HEIGHTS,26.0,STAAR - 3rd Math
964,22,57803105,UPLIFT PINNACLE,22.0,STAAR - 3rd Math
965,22,57803106,UPLIFT TRIUMPH,29.0,STAAR - 3rd Math
966,22,57803107,UPLIFT LUNA PRE,17.0,STAAR - 3rd Math
967,22,57803108,UPLIFT MERIDIAN,17.0,STAAR - 3rd Math
968,22,57803109,UPLIFT SUMMIT I,34.0,STAAR - 3rd Math
969,22,57803110,UPLIFT ATLAS PR,30.0,STAAR - 3rd Math
970,22,57803111,UPLIFT HAMPTON,30.0,STAAR - 3rd Math
971,22,57803112,UPLIFT WILLIAMS,28.0,STAAR - 3rd Math
972,22,57803114,UPLIFT WHITE RO,32.0,STAAR - 3rd Math
977,22,57807001,LIFE SCHOOL OAK,13.0,STAAR - 3rd Math
981,22,57807105,LIFE SCHOOL MOU,24.0,STAAR - 3rd Math
1067,22,57905101,JOHN Q ADAMS EL,37.0,STAAR - 3rd Math
1071,22,57905107,JOSE 'JOE' MAY,41.0,STAAR - 3rd Math
1072,22,57905108,BAYLES EL,12.0,STAAR - 3rd Math
1074,22,57905110,ANNIE WEBB BLAN,66.0,STAAR - 3rd Math
1076,22,57905114,JOHN NEELY BRYA,7.0,STAAR - 3rd Math
1078,22,57905116,DAVID G BURNET,42.0,STAAR - 3rd Math
1085,22,57905125,CASA VIEW EL,50.0,STAAR - 3rd Math
1091,22,57905133,BARBARA JORDAN,30.0,STAAR - 3rd Math
1093,22,57905135,EVERETTE LEE DE,70.0,STAAR - 3rd Math
1097,22,57905141,JILL STONE EL A,11.0,STAAR - 3rd Math
1112,22,57905161,SYLVIA MENDEZ C,28.0,STAAR - 3rd Math
1113,22,57905162,MOCKINGBIRD EL,64.0,STAAR - 3rd Math
1114,22,57905163,CEDAR CREST EL,30.0,STAAR - 3rd Math
1117,22,57905167,KLEBERG EL,34.0,STAAR - 3rd Math
1118,22,57905168,OBADIAH KNIGHT,52.0,STAAR - 3rd Math
1121,22,57905171,LAKEWOOD EL,92.0,STAAR - 3rd Math
1123,22,57905173,JESUS MOROLES E,26.0,STAAR - 3rd Math
1124,22,57905174,GENEVA HEIGHTS,40.0,STAAR - 3rd Math
1130,22,57905181,MAPLE LAWN EL,44.0,STAAR - 3rd Math
1131,22,57905182,HERBERT MARCUS,31.0,STAAR - 3rd Math
1134,22,57905185,WILLIAM B MILLE,33.0,STAAR - 3rd Math
1141,22,57905192,JOHN F PEELER E,36.0,STAAR - 3rd Math
1143,22,57905194,K B POLK CENTER,23.0,STAAR - 3rd Math
1147,22,57905199,REINHARDT EL,46.0,STAAR - 3rd Math
1149,22,57905202,ORAN M ROBERTS,33.0,STAAR - 3rd Math
1152,22,57905205,CLINTON P RUSSE,34.0,STAAR - 3rd Math
1153,22,57905206,ALEX SANGER PRE,50.0,STAAR - 3rd Math
1158,22,57905211,STEVENS PARK EL,25.0,STAAR - 3rd Math
1162,22,57905216,EDWARD TITCHE E,24.0,STAAR - 3rd Math
1163,22,57905218,GEORGE W TRUETT,43.0,STAAR - 3rd Math
1165,22,57905220,MARK TWAIN SCHO,33.0,STAAR - 3rd Math
1167,22,57905224,WALNUT HILL EL,50.0,STAAR - 3rd Math
1173,22,57905233,NATHAN ADAMS EL,27.0,STAAR - 3rd Math
1179,22,57905240,FRANK GUZICK EL,21.0,STAAR - 3rd Math
1180,22,57905244,SEAGOVILLE NORT,20.0,STAAR - 3rd Math
1189,22,57905271,JULIAN T SALDIV,37.0,STAAR - 3rd Math
1196,22,57905278,LEONIDES GONZAL,17.0,STAAR - 3rd Math
1197,22,57905279,JERRY R JUNKINS,53.0,STAAR - 3rd Math
1205,22,57905301,WILMER-HUTCHINS,27.0,STAAR - 3rd Math
1206,22,57905303,THELMA ELIZABET,21.0,STAAR - 3rd Math
1209,22,57905306,SOLAR PREPARATO,53.0,STAAR - 3rd Math
1214,22,57905386,SOLAR PREP FOR,59.0,STAAR - 3rd Math
1224,22,57907106,CLINT Q SMITH E,0.0,STAAR - 3rd Math
1242,22,57909119,BRADFIELD EL,60.0,STAAR - 3rd Math
1291,22,57910129,THURGOOD MARSHA,47.0,STAAR - 3rd Math
1364,22,57916104,GREENWOOD HILLS,30.0,STAAR - 3rd Math
1374,22,57916114,STULTS ROAD EL,33.0,STAAR - 3rd Math
1383,22,57916124,SPRINGRIDGE EL,40.0,STAAR - 3rd Math
1385,22,57916126,SKYVIEW EL,20.0,STAAR - 3rd Math
1394,22,57916135,AIKIN EL,21.0,STAAR - 3rd Math
1397,22,57916143,FOREST LANE ACA,22.0,STAAR - 3rd Math
1398,22,57916144,AUDELIA CREEK E,15.0,STAAR - 3rd Math
1400,22,57916146,THURGOOD MARSHA,22.0,STAAR - 3rd Math
2740,22,108807187,IDEA ACHIEVE AC,50.0,STAAR - 3rd Math
2753,22,108807302,IDEA EDGECLIFF,46.0,STAAR - 3rd Math
